a SE1 SE2 Resistance SecurityIndex
0.0 13.062013545758774 13.062013545759736 -9.651479615513382e-13 -7.389200362695191e-14
0.1 13.021090877867545 10.457569233255443 2.5635216446121034 0.1968746667113998
0.2 13.010216782943644 8.517170856108896 4.493045926834743 0.34534759302059487
0.3 13.014406652929818 7.118705210177147 5.895701442752673 0.4530134527327633
0.4 13.024166091511017 6.115863224931985 6.9083028665790325 0.530421794986186
0.5 13.035923008126256 5.427926383954511 7.607996624171749 0.5836176140997147
0.6 13.04743944241477 4.988960299647113 8.058479142767652 0.618290483437544
0.7 13.057347019326894 4.732913349681014 8.324433669645877 0.6375286106486696
0.8 13.06633686918541 4.612897559007947 8.453439310177465 0.6469631901899635
0.9 13.072631207814782 4.606601356332082 8.466029851482702 0.647614857129179
1.0 13.078851732965768 4.682704204825808 8.396147528139963 0.6419637134009928
1.1 13.083680341269464 4.82807650289336 8.255603838376109 0.630984908319854
1.2 13.086781485682636 5.000266726941166 8.086514758741478 0.6179148154291303
1.3 13.089808638603113 5.233284531816538 7.856524106786581 0.6002018001940916
1.4 13.092040892455882 5.485160445353105 7.606880447102781 0.5810310890942358
1.5 13.09392517973977 5.756287015114326 7.337638164625441 0.5603849998862972
1.6 13.095126278924647 6.036992399252734 7.058133879671914 0.5389895313139879
1.7 13.096253678558558 6.323535139643359 6.772718538915195 0.5171494419852882
1.8 13.097353973449655 6.654203108655196 6.44315086479446 0.4919432136882278
1.9 13.097755669727624 6.926277717552581 6.171477952175036 0.4711861692928534
2.0 13.098315869546473 7.2265399107475075 5.87177595879897 0.4482850081253138
2.1 13.098595477452816 7.558976718177201 5.53961875927562 0.42291712804471737
2.2 13.099107344327571 7.843898957612342 5.255208386715226 0.4011885554161146
2.3 13.09925429112411 8.169411462202696 4.929842828921412 0.37634565299185824
2.4 13.099601606327669 8.471270781557422 4.628330824770249 0.353318767022308
2.5 13.10014395973657 8.760272425846349 4.33987153389022 0.33128430733599346
2.6 13.099737186360379 9.078820710112279 4.0209164762480984 0.30694626543490083
2.7 13.0999501213648 9.262720806781028 3.8372293145837695 0.2929202500808278
2.8 13.099954388523152 9.608017372358125 3.4919370161650227 0.26656109215956464
2.9 13.10023656791877 9.910420715414292 3.189815852504481 0.2434932140689936
3.0 13.100389579484274 10.092029442290148 3.008360137194121 0.22963953046021557
